Title,Domain
[WEBINAR] Intro to Functional JavaScript,"java,javascript"
Webinar: Javascript 101,"java,javascript"
[WEBINAR] JavaScript Study Hall ,"java,javascript"
Thinkful Webinar | Free Crash Course: JavaScript Fundamentals,"java,javascript"
JavaScript 101 (Live Online),"java,javascript"
Web Design VI: Adding JavaScript to Web Pages,"java,javascript"
Web Design V: JavaScript for Beginners,"java,javascript"
Free VIRTUAL Javascript Class,"java,javascript"
VIRTUAL Crash Course -  Learn JavaScript!,"java,javascript"
Thinkful Webinar | Build a Web App with JavaScript & jQuery,"java,javascript,mobile applications"
Web Design I: HTML for Beginners,"web development,machine learning"
Thinkful Webinar | Intro to HTML & CSS: Build Your Own Website,web development
Thinkful Webinar || Free Crash Course: HTML & CSS,web development
Thinkful Webinar || Free Crash Course: HTML & CSS,web development
Thinkful Webinar | Intro to HTML & CSS: Build Your Own Website,web development
Web Design III: Advanced HTML and CSS,web development
HTML & CSS Module 1 Weekly on Wednesdays 3pm ET (July 29–Sep.2)(English),web development
[Full Day Workshop] Kubeflow + BERT + GPU + TensorFlow + Keras + SageMaker,machine learning
IIPC RSS Webinar: LinkGate - Visualising web archives II,higher education
apidays LIVE HONG KONG - The Open API Economy - Finance-as-a-Service & API ...,finance
The Future of Finance in a Connected World,finance
"apidays LIVE SINGAPORE -   APIs,Ecosystems and Finance-as-a-Service","finance,higher education"
Collaborating with Educators Workshop with Jennifer Chavez-Miller,higher education
Educator Retreat,higher education
The Future of Math Education,higher education
TOWN HALL: Advancing STEM Equity Through Research-Based Education Practices,higher education
ASBMB Education Symposium - Teaching Remotely: Sharing Practice,higher education
Game Development through PyGame for Kids and Teens ( 8-18 years ),development process
Thinkful Webinar | UX/UI Design Vs. Web Development,development process
Water Innovation Connect Series: Technology Development,development process
Capital Area IT Council - Software Development Peer Group Event,development process
Save the Trees Please: Best Practices for Development Plan Review Process,development process
Thinkful Webinar | Learn Web Development With Thinkful,development process
Digital Health Innovations and New Client Development in a COVID-19 World,development process
Thinking Beyond the Lab in Cancer Therapeutic Development - TMC ACT,development process
2020 CIE/USA-DFW  Fall Symposium Day 2: Leadership and Career Development,development process
Custom Theme Development | WordPress & Shopify Course Info Session,development process
GRDC FBU South- Priority skills development,development process
"Agile's Crossover - Sprint based HR,Organisation and Development Change",development process
GRDC FBU South- Priority skills development,development process
Software Development Meetup,development process
Web Development Jumpstart 3-Week Course,development process
Offshore software development: Project Management using Backlog,"development process,management"
Offshore software development: Project Management using Backlog,"development process,management"
[Online] - ReactNative for beginners - Free webinar for App Development,"development process,mobile applications"
Thinkful Webinar | Data Science Fundamentals: The Pandas Library,data science
Online Data Science Ethics Book Club #11 - Data and Social Change Movements,data science
ODSC West 2020 Virtual  Career Expo || Open Data Science Conference,data science
Young Professional's in Data Science Panel Event,data science
[Webinar] Data Science Learning Path,data science
Intro to Data Science - Computer Vision: Workshop | Online,data science
Women in Data Science - San Diego (Online),data science
Thinkful Webinar | Learn Data Science With Thinkful,data science
Thinkful Webinar | Intro to Data Science: Predictive Modeling,data science
Thinkful Webinar | Intro to Data Science: The Art of Visualizations,data science
[Webinar] Building Data Science Portfolio,data science
2020 Florida Data Science for Social Good - The Big Reveal,data science
"Data Science in the News- Going for Gold: Data,data science & elite sports",data science
[Webinar] Building Data Science Portfolio,data science
2020 Florida Data Science for Social Good - The Big Reveal,data science
Thinkful Webinar | Intro to Data Science: The Art of Visualizations,data science
FREE: Data Science for Executives: Becoming a Data-Driven Organization,data science
Thinkful Webinar | Learn Data Science With Thinkful,data science
Thinkful Webinar | Learn Data Science With Thinkful,data science
Thinkful Webinar | Learn Data Science With Thinkful,data science
[Webinar] Introduction to Data Science Diploma Program,data science
[Webinar] Data Science Interview Tips,data science
[Virtual] Life as a Data Science Bootcamp Grad : Panel | Online,data science
Thinkful Webinar | Intro to Data Science: Python Fundamentals,"data science,python"
"[Webinar] Data Science with Python: The What,Why,and How","data science,python"
[Webinar] Getting Started Python and Data Science,"data science,python"
Los Angeles Data Science Study Hall,"data science,networking "
RAPIDS Academy - GPU Data Science: The Tour - Your First Big Dataset,data science
RAPIDS Academy - GPU Data Science: The Tour - Your First Big Dataset,data science
ONLINE EVENT: Free Data Science & Quantitative Finance Webinar,"data science,finance"
ONLINE EVENT: Free Data Science & Quantitative Finance Webinar,"data science,finance"
How Data Science is revolutionising businesses of the future,"data science,management"
Thinkful Webinar | Data Science vs. Data Analytics,data science
Nashville Software School Info Session: Analytics + Data Science,data science
Nashville Software School Info Session: Analytics + Data Science,data science
Virtual Open House: Data Science & Analytics Bootcamp Certificate (Fall),data science
Web Design II: CSS for Beginners,web development
Getting Started with CSS Animations,web development
Video Compression in Serverless Computing - IEEE CS,computing
Coding For Beginners: Workshop | Online,coding
*HubSpot Webinar* Info Session : What is the HubSpot Coding Challenge?,coding
alwaysCoding- Weekly Hacky Hour,coding
Coding 101 Workshop (Live Online),coding
Austin Coding Academy | VIRTUAL Learn to Code Workshop,coding
Texas Tech Coding Academy | Learn to Code Workshop | 8.5.2020 {REMOTE},coding
Coding and Cocktails,coding
Coding For Beginners: Workshop | Online,coding
Decoding Reality: On-demand recording,coding
Coding and Cocktails,coding
REMOTE Free Intro to Coding Workshop with Grand Circus,coding
Coding 101 Workshop (Live Online),coding
Intro to Coding Workshop with Harmony Brewing Company ,coding
REMOTE Free Intro to Coding Workshop with the Royal Oak Public Library ,coding
Coding with Snap! - Workshop Series,coding
REMOTE Free Intro to Coding Workshop with the Royal Oak Public Library ,coding
"Kids' Coding Camp - Beginner Level,ages 11-15",coding
Online Info Session | LSU Coding Bootcamp,coding
Coding 5k Workshops,coding
Virtual Open House: Coding Bootcamp Certificate (Fall),coding
Why You Should Learn To Code In 2020: Disrupt Coding Bootcamp,coding
"Mapping XY,Geocoding,Creating XY Table Using ArcGIS Pro","coding,mobile applications"
Cloud Study Jam: BigQuery Basics for Data Analysts,cloud
Cloud Ascent Webinar,cloud
Cloud Ascent Webinar,cloud
Google Cloud Platform Certification Training | Instructor LED Training|,cloud
Google Cloud Platform Certification Training | Instructor LED Training|,cloud
Cloud Study Jam: Google Cloud Platform Essentials,cloud
Cloud Study Jam: Cloud Architecture,cloud
How and Why You Should Get A Career in Cloud Security,cloud
Cloud Experience Data Platform,cloud
Google Cloud Certification Training | Online - Paid Training | Weekday,cloud
Google Cloud Certification Training | Online - Paid Training | Weekend,cloud
"Machine Learning with TensorFlow on Google Cloud Platform,Virtual CST",machine learning
"Machine Learning with TensorFlow on Google Cloud Platform,Virtual CST",machine learning
Business Opps and Collabs between Corporates and Scientist-Entrepreneurs,management
Business Opps and Collabs between Corporates and Scientist-Entrepreneurs,management
apidays LIVE AUSTRALIA - Building Business Ecosystems,management
Small Business Funding Opportunities from the National Cancer Institute,management
"NIPCA Global Masterclass Series - ""The Canadian Business Environment""",management
Business Intelligence Training,management
2030 Movement: Driving Better Business Decisions with Data,management
Technology Blooms in Business Operations; a Case Study in RFP Automation,higher education
Cybersecurity: The Blockchain Use Case,blockchain
The Babylon Project by World Blockchain Hackathon,blockchain
Black Blockchain Summit 2020,blockchain
Blockchain DLT - Shardus 2020 Q2 Virtual Event,blockchain
Improving's vLnL w/ Michael Perry: Git as Blockchain,blockchain
Blockchain DLT - Shardus 2020 Q2 Virtual Event,blockchain
August 2020 - Blockchain with Jesse Morris,blockchain
5G and IOT Revolution: what's the role of blockchain? | WEBINAR,"blockchain,iot"
5G and IOT Revolution: what's the role of blockchain? | WEBINAR,"blockchain,iot"
NINR Methodologies Boot Camp: Artificial Intelligence,artificial intelligence
Real Artificial Intelligence 2020,artificial intelligence
GMG Artificial Intelligence Working Group | Virtual Meeting,artificial intelligence
MATTER Workshop: Digging into Artificial Intelligence and Machine Learning,"artificial intelligence,machine learning"
"Modeling COVID-19 Pandemic: Resources,Methodology and Applications",mobile applications
Microsoft  Power App in a Day (Virtual) - August 4,mobile applications
Fireside Chat: A Digital First Approach to COVID-19,mobile applications
"Health Apps,Privacy and Cybersecurity panel discussion (webinar)",mobile applications
How to find a profitable app idea,mobile applications
How to find a profitable app idea,mobile applications
Applied AI: From Academia to Industry [Online Event],mobile applications
Make It Happen,mobile applications
Applied AI: From Academia to Industry [Online Event],mobile applications
Make It Happen,mobile applications
Real World Applications of OLED Technology [Online Event],mobile applications
Intro to ArcGIS Online & Mapping COVID19,mobile applications
Hands-On UX Workshop: Redesign a Custom T-Shirt App,mobile applications
Hands-On UX Writing Workshop: Design a Recipe App For a Pasta Company,mobile applications
Intro to ArcGIS Online & Mapping COVID19,mobile applications
Hands-On UX Workshop: Redesign a Custom T-Shirt App,mobile applications
Hands-On UX Writing Workshop: Design a Recipe App For a Pasta Company,mobile applications
Hands-On UX Workshop: Redesign a Dog Adoption App in Just 2 Hours,mobile applications
Digital Apprenticeships How They Can Benefit the IT Industry,mobile applications
EAGE London: Putting the EO into gEOlogical applications,mobile applications
Construye tu primera Web App en React,mobile applications
Bootstrapping with Google Firebase,mobile applications
UR Roundtable | Success In Your Urology Application,mobile applications
Webinar: Create an AR Remote Support Application with T-Systems,mobile applications
What Happened at the Big Bang? : On-demand Event,mobile applications
CIE TUTORIALS ON COLORIMETRY AND VISUAL APPEARANCE,mobile applications
Virtual Happy Hour Hangout!,mobile applications
Workshop: Computational approaches for designing small molecule inhibitors,mobile applications
How many years before it disappears?   Sponsors: CPS Energy & Watt Watchers,mobile applications
KTech Networking Happy Hour  with Shaun Gleason,"mobile applications,networking"
LA-ICP-MS Fundamentals and Applications,"mobile applications,higher education"
LA-ICP-MS Fundamentals and Applications,"mobile applications,higher education"
Android Stream Day - Season 1,mobile applications
Intermediate Kotlin for Android WEBINAR,mobile applications
Android Weekly Series Part 4,mobile applications
"Bridging the Distance: Learning,Analytics,& COVID-19",data science
"Bridging the Distance: Learning,Analytics,& COVID-19",data science
Data Analytics for beginners,data science
Thinkful Webinar | Intro To Data Analytics: Excel Basics,data science
Thinkful Webinar | Learn Data Analytics With Thinkful,data science
Thinkful Webinar | Learn Data Analytics With Thinkful,data science
Thinkful Webinar | Level Up Your Career With Data Analytics,data science
Thinkful Webinar | Learn Data Analytics With Thinkful,data science
Thinkful Webinar | Intro To Data Analytics: Excel Basics,data science
Thinkful Webinar | Learn Data Analytics With Thinkful,data science
Supply Chain Data Analytics Workshop,data science
The Data Analytics Research and Evaluation (DARE) Centre: Early Output,data science
Thinkful Webinar | Data Analytics: Diving Into SQL Joins,data science
Thinkful Webinar | Data Analytics: Diving Into SQL Joins,data science
Thinkful Webinar | Intro to Data Analytics: SQL Fundamentals,data science
Data Analytics com Python | Le Wagon Rio,data science
Data Analytics com Python | Le Wagon SP,data science
Intermediate R Studio: Data Visualization,other
Introduction to R Workshop,other
Intro to R pt. 1: Working with R and RStudio,other
Intro to R pt. 1: Working with R and RStudio,other
Introduction to R for Data Analysis,other
Intro to R pt. 2: Demystifying Data Types,other
Intro to R pt. 2: Demystifying Data Types,other
Medical Devices and IOT - Helping Diabetics Worldwide,iot
Digital Transformation in the  Manufacturing Industry using IoT,iot
Digital Transformation in the  Manufacturing Industry using IoT,iot
Digital Transformation in the  Manufacturing Industry using IoT,iot
Dual pandemics – what will COVID-19 mean for hepatitis C elimination?,c
WARP AI 1.0 - Virtual Conference,artificial intelligence
Online Teacher Training: Explore Scratch and AI in the classroom,artificial intelligence
Operationalizing AI in Health Virtual Speaker Series - Session III,artificial intelligence
2020 IDEAS Global AI Conference-Online,artificial intelligence
Power Team Webinar Series: AI Using IBM Visual Insights,artificial intelligence
Leveraging AI and Machine Learning to Improve Data Quality,"artificial intelligence,machine learning"
EAGE London: Leveraging geophysics with AI to mitigate production risks,artificial intelligence
Explainable AI in Finance [Online Event],"artificial intelligence,finance"
"Multi-Billion Search Engines,Data Science and AI Workshop","artificial intelligence,data science"
"Multi-Billion Search Engines,Data Science and AI Workshop","artificial intelligence,data science"
Application Modernisation with Anthos,c
Microfrontends Architecture An extension to Microservices ar...,c
AI augmenting human capabilities across the care delivery va...,c
Masterclass on The Science of Upskilling,c
C The structured programming Approach webinar,c
Master C and build basic Programs,c
Master C and Cpp week,c
Structured Programming Approach,c
Amdocs Technology Evolution & a Boulevard to Success,c
Extended Reality (XR) - Moving from Nicety to Necessity,c
Natural Language Processing for Beginners,python
How to build a career in Data Science,python
A Prelude to RACE360: Computer Vision and Face Rec...,python
ArcGIS API for Python for Analysts and Data Scient...,python
AWS Lambda and API Gateway Microservices - Infrast...,python
Integrating Deep Learning with ArcGIS using Python,python
Microservice Real Talk,python
Intel Webinar on Parallel Python,python
"Data Science Gains using SAS,R & Python",python
Machine Learning made easy with SAS & python integ...,python
Data Analytics - Machine Learning,python
Code walkthrough: Using MongoDB with java (basic &...,python
Data Analytics with R and Python,python
Careers in Technology | What does the future hold?,higher education
Disruptive IoT Technologies: Insights and Actions ...,iot
Program visualization for Business Decision making,python
Data Analytics using PySpark Hands-On (Spark and P...,python
Understanding SVM (Support Vector Machine) Algorit...,python
Machine Learning with SciKit Learn,python
Basic Machine Learning using Python,python
"Enhance your skills on Apache Spark with Scala,Py...",python
Develop advanced smart home applications with new ...,python
Amdocs Technology Evolution & a Boulevard to Succe...,c++
Trust in the era of cloud computing: Security & Pr...,c++
Learn about the latest features from Uipath - Acti...,c++
How to build a career in Data Science,c++
C++ Testing with Catch2 and CLion,c++
C# Scripting in Unity made easy with JetBrains Rid...,c++
Reactive Extensions in Java (RxJava),c++
Cryptocurrencies - II,blockchain
UI Development with React,development process
Careers in Technology | What does the future hold?,higher education
Career in the Cloud: A state of constant innovatio...,cloud computing
Smart Cities powered by IOT: The Impact of New Tec...,iot
Application Modernisation with Anthos,c++
Microfrontends Architecture An extension to Microservices ar...,c++
AI augmenting human capabilities across the care delivery va...,artificial intelligence
Masterclass on The Science of Upskilling,management
Amdocs Technology Evolution & a Boulevard to Success,c++
Extended Reality (XR) - Moving from Nicety to Necessity,c++
Understanding Today's Cyber Risks,networking
Accelerate Your Digital Transformation Journey wit...,c++
Riding the Digital Transformation Wave,c++
Careers in IT,c++
Develop advanced smart home applications with new ...,c++
The Road to Value Delivery,c++
Getting ready for a data scientist job interview,data science
Create great teams in record short time - using Agile,development process
Domain Specific Language (DSL) and its implementation,c++
Script Your Own Story Cover To Cover!,higher education
How to Accelerate Innovation in YOUR Company,other
Getting it right with Model-view-controller (MVC) ...,c++
Extended Reality (XR) - Moving from Nicety to Necessity,artificial intelligence
Suspect Traceability - A way to manage changing re...,management
Using Big Data & Analytics in today's dynamic busi...,other
Entity Framework,development process
Unified Communications & Collaboration (UC&C),other
Building a multichannel commerce platform,development process
Role of technology in Distance Education and Its S...,other
Building a multichannel commerce platform,finance
AI augmenting human capabilities across the care d...,machine learning
Insuretech in 2020,machine learning
Application of AI and ML techniques to solve real ...,machine learning
View All,machine learning
Application Modernisation with Anthos,machine learning
Microfrontends Architecture An extension to Microservices ar...,machine learning
AI augmenting human capabilities across the care delivery va...,machine learning
Masterclass on The Science of Upskilling,machine learning
Amdocs Technology Evolution & a Boulevard to Success,machine learning
Extended Reality (XR) - Moving from Nicety to Necessity,machine learning
An introduction to Reinforcement Learning,machine learning
Mixed Reality - Driving next Generation Experience...,machine learning
The future of autonomous driving with TomTom HD Ma...,machine learning
Understanding Sampling Methodology and Challenges ...,machine learning
Data Analytics - Machine Learning,machine learning
Machine Learning in Easy Pieces,machine learning
How TomTom is using Artificial Intelligence to tra...,machine learning
Extending Cognitive Services to Cloud and DevOps P...,machine learning
What is Driving the Next Digital Revolution and Wh...,machine learning
Machine learning - Current Trends and Use of AI in...,machine learning
Countdown to Digital Workforce : An evolution of R...,machine learning
Demystifying Security Data Science - Part 2,machine learning
Inside Cloud Computing and infusing AI into applic...,machine learning
Extended Reality (XR) - Moving from Nicety to Necessity,machine learning
IoT and AI/ML - The Key enablers of Digital Transf...,machine learning
Predix In Action Panel Presentation,machine learning
Data Science : The Art of playing with Data,machine learning
Multimodal Sentiment Analysis and Context Determin...,machine learning
Digital Transformation with Disruptive technologie...,machine learning
Detection of Intel logos from videos using SSD on ...,machine learning
Unattended Baggage Detection Using Deep Neural Net...,machine learning
Build Voice-Enabled Experiences with Alexa,machine learning
Deep Learning 101,machine learning
Neural Networks and Deep Learning,machine learning
Understanding SVM (Support Vector Machine) Algorit...,machine learning
Machine Learning with SciKit Learn,machine learning
Extended Reality (XR) - Moving from Nicety to Necessity,machine learning
Scaling Amazon Retail,machine learning
Basic Machine Learning using Python,machine learning
Artificial Intelligence- Transforming Trading Valu...,machine learning
Internet of Everything (IoT) - creating new opport...,machine learning
Natural language processing techniques using machi...,machine learning
Big Data Processing using Spark,machine learning
Introduction to Machine Learning,machine learning
Harnessing Cloud Technologies For Machine Learning,machine learning
AI augmenting human capabilities across the care delivery,machine learning
Google Cloud Platform Fundamentals Core Infrastruc...,machine learning
Artificial Intelligence Vs Machine Learning Vs Dee...,machine learning
"Introduction to Machine Learning,Techniques and i...",machine learning
Artificial Intelligence : Role of Machine Learning...,machine learning
It is time to unlearn what you know about applicat...,machine learning
"AI,ML & Deep Learning: The most important convers...",machine learning
Intel Deep Learning Applications on Spark,machine learning
Big Data to actionable Insights- Analytics driving...,machine learning
"Data Science Gains using SAS,R & Python",machine learning
Machine Learning made easy with SAS & python integ...,machine learning
"Create Next Generation Buildings with IoT,Knowled...",machine learning
Google Cloud Platform Fundamentals Core Infrastruc...,machine learning
Moving solutions to the Azure Cloud - There is a s...,machine learning
INFOSEC - protecting the world!!,machine learning
Introduction to Artificial Intelligence And DataSc...,machine learning
Uncomplicate IoT - Demystifying the complex IoT ch...,machine learning
Deploying Machine Learning Algorithms in the Real ...,machine learning
Demystifying Blockchain,machine learning
Deploying Loan Eligibility Prediction Model on Wat...,machine learning
Emerging Technologies:Machine Learning and Data Sc...,machine learning
Monitor custom machine learning model using Watson...,machine learning
Data & Machine Learning Part I,machine learning
AIOps as the Co-Pilot to DevOps,machine learning
IoT Platform provider's guide to begin your Enterp...,machine learning
Clearing the picture of Data Science in and around...,machine learning
Getting Started with Deep Learning,machine learning
How AI Will Rewrite The Insurance Domain,machine learning
Data & Machine Learning Part III,machine learning
Artificial Intelligence in Mass Customisation,machine learning
RPA - Future skills that are changing the way we w...,machine learning
Smart Robot deployments for greater operational ef...,machine learning
Rise of identity technology in the Fintech space,machine learning
Convolutional Neural Network for Object Detection,machine learning
Data Readiness for AI,machine learning
Democratization of Machine Learning and Data Scien...,machine learning
AI in Software Development: Hype vs Reality,machine learning
Demystifying Artificial Intelligence and Machine L...,machine learning
Digital Transformation: Setting up the RPA Organiz...,machine learning
Why IVAs (Intelligent Virtual Assistants) are the ...,machine learning
CIOs need AI to be the nucleus of their innovation...,machine learning
A Prelude to RACE360: Computer Vision and Face Re,machine learning
Introduction to Artificial Intelligence And DataSc...,artificial intelligence
Monitor custom machine learning model using Watson...,artificial intelligence
Practical AI,artificial intelligence
AIOps as the Co-Pilot to DevOps,artificial intelligence
Clearing the picture of Data Science in and around...,artificial intelligence
How AI Will Rewrite The Insurance Domain,artificial intelligence
Artificial Intelligence Vs Machine Learning Vs Dee...,artificial intelligence
"Introduction to Machine Learning,Techniques and i...",artificial intelligence
Turbocharging E-commerce with AI,artificial intelligence
Artificial Intelligence : Role of Machine Learning...,artificial intelligence
"AI,ML & Deep Learning: The most important convers...",artificial intelligence
Build automated customer support for emails,artificial intelligence
Big Data to actionable Insights- Analytics driving...,artificial intelligence
Machine Learning made easy with SAS & python integ...,artificial intelligence
"Create Next Generation Buildings with IoT,Knowled...",artificial intelligence
Moving solutions to the Azure Cloud - There is a s...,artificial intelligence
INFOSEC - protecting the world!!,artificial intelligence
Why DevOps should be the DeFacto Mode of Build and...,artificial intelligence
An introduction to Reinforcement Learning,artificial intelligence
Mixed Reality - Driving next Generation Experience...,artificial intelligence
The future of autonomous driving with TomTom HD Ma...,artificial intelligence
Extended Reality (XR) - Moving from Nicety to Necessity,artificial intelligence
Artificial Intelligence in Mass Customisation,artificial intelligence
RPA - Future skills that are changing the way we w...,artificial intelligence
Rise of identity technology in the Fintech space,artificial intelligence
Data Readiness for AI,artificial intelligence
Blockchain meet AI - Smart contracts and their fut...,artificial intelligence
AI in Software Development: Hype vs Reality,artificial intelligence
Demystifying Artificial Intelligence and Machine L...,artificial intelligence
How RPA and AI will revolutionize Enterprise Solut...,artificial intelligence
Digital Transformation: Setting up the RPA Organiz...,artificial intelligence
Why IVAs (Intelligent Virtual Assistants) are the ...,artificial intelligence
CIOs need AI to be the nucleus of their innovation...,artificial intelligence
A Prelude to RACE360: Computer Vision and Face Recognition,artificial intelligence
AI augmenting human capabilities across the care delivery va...,artificial intelligence
Masterclass on The Science of Upskilling,artificial intelligence
Amdocs Technology Evolution & a Boulevard to Success,artificial intelligence
Extended Reality (XR) - Moving from Nicety to Necessity,artificial intelligence
Machine Learning in Easy Pieces,artificial intelligence
How TomTom is using Artificial Intelligence to tra...,artificial intelligence
Extending Cognitive Services to Cloud and DevOps P...,artificial intelligence
Hyper-personalization for Customer Experience Plat...,artificial intelligence
What is Driving the Next Digital Revolution and Wh...,artificial intelligence
Machine learning - Current Trends and Use of AI in...,artificial intelligence
Digital Transformation And The Role of Robotic Pro...,artificial intelligence
Robotic Process Automation (RPA) and Business Proc...,artificial intelligence
Countdown to Digital Workforce : An evolution of R...,artificial intelligence
Product Innovation & Digital Transformation,artificial intelligence
Inside Cloud Computing and infusing AI into applic...,artificial intelligence
How Social Workflows will Drive Enterprise Transfo...,artificial intelligence
Artificial Intelligence in Today's Era,artificial intelligence
Innovating with AI,artificial intelligence
Deep Learning 101,artificial intelligence
High Performance Computing: What'sthe hype about?,artificial intelligence
Artificial Intelligence- Transforming Trading Valu...,artificial intelligence
"Deep Learning,Artificial Intelligence and its Pra...",artificial intelligence
The role of Artificial Intelligence and Cognitive ...,artificial intelligence
Technology Enabled Business Transformation,blockchain
Insuretech in 2020,blockchain
"Introduction to concept of Blockchain ,its uses a...",blockchain
Building blocks of Blockchain,blockchain
Blockchain as a career option,blockchain
Advanced Biometrics,blockchain
Blockchain - An Overview And Use Cases,blockchain
Blockchain meet AI - Smart contracts and their fut...,blockchain
Decentralized way of Digital Partnerships - Blockc...,blockchain
Demystifying Blockchain,blockchain
Blockchain Technology and Applications,blockchain
Blockchain is here to stay,blockchain
Understand Blockchain through Hyperledger Fabric a...,blockchain
Digital Disruption - What skills will keep a QA pr...,blockchain
Blockchain Demystified,blockchain
Cryptocurrencies,blockchain
"Blockchain concepts,Hyperledger Fabric and Hyperl...",blockchain
Blockchain:Hype vs Reality-if Blockchain is the an...,blockchain
Identity on Blockchain,blockchain
Ethereum Blockchain,blockchain
Building Commodity Trade Life Cycle on Hyperledger...,blockchain
Blockchain Platform as a Service,blockchain
HyperLedger Blockchain,blockchain
Blockchain in Reality,blockchain
Ethereum Blockchain Continued,blockchain
Ethereum Blockchain,blockchain
Blockchain Training - Ethereum,blockchain
Blockchain Training,blockchain
Introduction to Blockchain and Its Basics,blockchain
BLOCKCHAIN: How to disrupt conventional business m...,blockchain
"Blockchain,A Paradigm Shift",blockchain
Demystifying Blockchain,blockchain
Trust in the era of cloud computing: Security & Pr...,cloud computing
Cloud Computing: Future and Beyond,cloud computing
